,ID,clube_mandante,qtd_cartao_amarelo_mandante,qtd_cartao_vermelho_mandante,clube_visitante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida,rodada,mandante_Placar,visitante_Placar,vencedor,campeonato,mandante,faltas_mandante,visitante,faltas_visitante,total_faltas_partida
44,4652,Athletico-PR,2,0,Chapecoense,2,0,2,2,4,0,4,5,1,1,-,12,Athletico-PR,0,Chapecoense,0,0
45,4654,Criciuma,2,1,Internacional,3,0,3,3,5,1,6,5,0,0,-,12,Criciuma,0,Internacional,0,0
46,4655,Santos,3,0,Atletico-MG,3,0,3,3,6,0,6,5,1,2,Atletico-MG,12,Santos,0,Atletico-MG,0,0
47,4656,Sport,6,0,Bahia,4,2,6,6,10,2,12,5,1,0,Sport,12,Sport,0,Bahia,0,0
48,4657,Coritiba,3,0,Internacional,6,0,3,6,9,0,9,6,1,1,-,12,Coritiba,0,Internacional,0,0
49,4658,Flamengo,3,0,Bahia,1,0,3,1,4,0,4,6,1,1,-,12,Flamengo,0,Bahia,0,0
50,4660,Criciuma,1,0,Chapecoense,0,0,1,0,1,0,1,6,1,0,Criciuma,12,Criciuma,0,Chapecoense,0,0
51,4661,Corinthians,1,0,Athletico-PR,5,0,1,5,6,0,6,6,1,1,-,12,Corinthians,0,Athletico-PR,0,0
52,4662,Fluminense,1,0,Sao Paulo,4,0,1,4,5,0,5,6,5,2,Fluminense,12,Fluminense,0,Sao Paulo,0,0
53,4663,Gremio,2,0,Botafogo-RJ,3,0,2,3,5,0,5,6,2,1,Gremio,12,Gremio,0,Botafogo-RJ,0,0
54,4664,Palmeiras,2,0,Figueirense,3,0,2,3,5,0,5,6,1,0,Palmeiras,12,Palmeiras,0,Figueirense,0,0
55,4665,Goias,3,0,Santos,2,0,3,2,5,0,5,6,2,2,-,12,Goias,0,Santos,0,0
56,4666,Vitoria,2,0,Atletico-MG,2,0,2,2,4,0,4,6,2,3,Atletico-MG,12,Vitoria,0,Atletico-MG,0,0
57,4667,Bahia,1,0,Fluminense,0,0,1,0,1,0,1,7,0,1,Fluminense,12,Bahia,0,Fluminense,0,0
