,total_cartoes_mandante,total_cartoes_visitante,faltas_mandante,faltas_visitante,total_faltas_partida,classico_regional,MedAma5_mandante,MedVer5_mandante,MedAma5_visitante,MedVer5_visitante,MedAmaTemp_mandante,MedAmaTemp_visitante,MedVerTemp_mandante,MedVerTemp_visitante,MedAmaH_mandante,MedAmaH_visitante,MedVerH_mandante,MedVerH_visitante,MaxAmaTemp_mandante,MinAmaTemp_mandante,MaxAmaTemp_visitante,MinAmaTemp_visitante,MaxVerTemp_mandante,MinVerTemp_mandante,MaxVerTemp_visitante,MinVerTemp_visitante
53,1,1,8,9,17,0,0.0,0.0,0.0,0.0,1.8,2.6,0.2,0.0,1.8,2.6,0.2,0.0,5.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0
54,3,2,19,14,33,0,0.0,0.0,0.0,0.0,2.6,3.0,0.2,0.0,2.6,3.0,0.2,0.0,5.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0
55,5,5,5,16,21,0,0.0,0.0,0.0,0.0,3.0,3.2,0.2,0.0,3.0,3.2,0.2,0.0,4.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0
56,3,3,22,14,36,0,0.0,0.0,0.0,0.0,3.4,3.0,0.2,0.2,3.4,3.0,0.2,0.2,5.0,2.0,6.0,1.0,1.0,0.0,1.0,0.0
57,2,4,15,17,32,0,0.0,0.0,0.0,0.0,3.4,4.2,0.2,0.0,3.4,4.2,0.2,0.0,5.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0
58,3,2,12,10,22,0,0.0,0.0,0.0,0.0,1.8,1.8,0.2,0.0,1.8,1.8,0.2,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
59,1,4,8,15,23,0,0.0,0.0,0.0,0.0,1.5,2.5,0.0,0.33,1.5,2.5,0.0,0.33,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
60,2,5,17,14,31,0,0.0,0.0,0.0,0.0,3.5,3.17,0.0,0.17,3.5,3.17,0.0,0.17,5.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0
61,2,4,5,29,34,0,0.0,0.0,0.0,0.0,2.67,2.67,0.33,0.17,2.67,2.67,0.33,0.17,5.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0
62,0,2,10,9,19,0,0.0,0.0,0.0,0.0,2.33,3.17,0.0,0.33,2.33,3.17,0.0,0.33,5.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0
63,0,4,10,13,23,0,0.0,0.0,0.0,0.0,1.83,1.67,0.0,0.17,1.83,1.67,0.0,0.17,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
64,2,4,13,25,38,0,0.0,0.0,0.0,0.0,3.83,2.83,0.33,0.17,3.83,2.83,0.33,0.17,6.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0
65,3,3,24,19,43,0,0.0,0.0,0.0,0.0,2.83,3.17,0.17,0.17,2.83,3.17,0.17,0.17,5.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0
66,4,3,14,26,40,1,0.0,0.0,0.0,0.0,4.17,3.33,0.0,0.17,4.17,3.33,0.0,0.17,7.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0
67,0,9,6,13,19,0,0.0,0.0,0.0,0.0,3.0,2.0,0.17,0.17,3.0,2.0,0.17,0.17,6.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0
68,1,4,8,22,30,0,0.0,0.0,0.0,0.0,2.83,2.5,0.0,0.33,2.83,2.5,0.0,0.33,6.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0
69,4,2,16,18,34,0,0.0,0.0,0.0,0.0,3.29,3.0,0.14,0.29,3.29,3.0,0.14,0.29,5.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0
70,2,3,10,12,22,0,0.0,0.0,0.0,0.0,1.57,3.57,0.0,0.29,1.57,3.57,0.0,0.29,3.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0
71,0,2,8,14,22,0,0.0,0.0,0.0,0.0,3.29,1.43,0.29,0.0,3.29,1.43,0.29,0.0,6.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
72,6,5,19,17,36,1,0.0,0.0,0.0,0.0,2.71,2.0,0.29,0.0,2.71,2.0,0.29,0.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0
73,4,3,11,9,20,0,0.0,0.0,0.0,0.0,2.57,2.57,0.0,0.14,2.57,2.57,0.0,0.14,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0
74,4,3,9,16,25,0,0.0,0.0,0.0,0.0,3.0,2.57,0.14,0.29,3.0,2.57,0.14,0.29,6.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
75,5,6,13,12,25,0,0.0,0.0,0.0,0.0,2.0,3.14,0.14,0.14,2.0,3.14,0.14,0.14,5.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0
76,2,7,10,20,30,1,0.0,0.0,0.0,0.0,2.71,3.29,0.29,0.0,2.71,3.29,0.29,0.0,4.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0
77,1,5,14,13,27,0,0.0,0.0,0.0,0.0,2.86,4.14,0.14,0.0,2.86,4.14,0.14,0.0,5.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0
78,2,3,16,18,34,0,0.0,0.0,0.0,0.0,2.71,2.86,0.43,0.14,2.71,2.86,0.43,0.14,7.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0
79,3,3,14,16,30,0,0.0,0.0,0.0,0.0,4.25,2.75,0.0,0.0,4.25,2.75,0.0,0.0,7.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0
80,1,6,7,16,23,0,0.0,0.0,0.0,0.0,2.62,1.62,0.25,0.0,2.62,1.62,0.25,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
81,0,2,10,11,21,0,0.0,0.0,0.0,0.0,2.25,3.38,0.12,0.12,2.25,3.38,0.12,0.12,5.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0
82,2,1,11,13,24,0,0.0,0.0,0.0,0.0,1.38,2.25,0.12,0.25,1.38,2.25,0.12,0.25,4.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
83,1,3,18,14,32,1,0.0,0.0,0.0,0.0,2.62,2.62,0.12,0.12,2.62,2.62,0.12,0.12,6.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0
84,2,3,15,12,27,0,0.0,0.0,0.0,0.0,3.38,2.62,0.25,0.38,3.38,2.62,0.25,0.38,5.0,1.0,7.0,1.0,1.0,0.0,2.0,0.0
85,1,2,16,27,43,0,0.0,0.0,0.0,0.0,2.88,2.62,0.12,0.25,2.88,2.62,0.12,0.25,5.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0
86,5,5,22,15,37,0,0.0,0.0,0.0,0.0,3.5,3.12,0.25,0.12,3.5,3.12,0.25,0.12,5.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0
87,4,0,18,10,28,1,0.0,0.0,0.0,0.0,3.5,2.88,0.25,0.25,3.5,2.88,0.25,0.25,6.0,2.0,6.0,0.0,2.0,0.0,1.0,0.0
88,3,4,4,12,16,0,0.0,0.0,0.0,0.0,2.88,3.0,0.25,0.38,2.88,3.0,0.25,0.38,4.0,2.0,6.0,1.0,1.0,0.0,1.0,0.0
89,2,3,13,8,21,0,1.2,0.0,2.6,0.2,2.11,2.89,0.0,0.22,2.11,2.89,0.0,0.22,6.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0
90,4,3,16,11,27,0,3.4,0.4,0.0,0.0,3.56,4.11,0.22,0.0,3.56,4.11,0.22,0.0,6.0,2.0,7.0,2.0,2.0,0.0,0.0,0.0
91,0,3,15,17,32,0,2.0,0.2,0.0,0.0,2.44,2.44,0.11,0.22,2.44,2.44,0.11,0.22,6.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
92,3,5,8,11,19,0,1.0,0.0,4.0,0.4,1.44,3.67,0.11,0.22,1.44,3.67,0.11,0.22,4.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0
93,3,2,14,11,25,0,0.0,0.0,2.8,0.2,2.11,2.56,0.22,0.22,2.11,2.56,0.22,0.22,5.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
94,5,6,21,21,42,0,3.2,0.0,3.8,0.2,2.78,3.33,0.0,0.11,2.78,3.33,0.0,0.11,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0
95,2,0,17,8,25,0,2.4,0.2,0.0,0.0,2.56,2.67,0.22,0.11,2.56,2.67,0.22,0.11,4.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0
96,1,2,5,12,17,1,0.0,0.0,3.0,0.2,2.0,2.67,0.11,0.11,2.0,2.67,0.11,0.11,5.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0
97,3,2,17,20,37,0,0.0,0.0,4.4,0.4,3.22,3.22,0.11,0.22,3.22,3.22,0.11,0.22,5.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0
98,2,3,7,21,28,0,2.0,0.0,3.6,0.6,2.56,3.0,0.44,0.44,2.56,3.0,0.44,0.44,7.0,1.0,6.0,1.0,2.0,0.0,1.0,0.0
99,1,2,22,17,39,0,0.0,0.0,2.2,0.2,3.8,2.2,0.2,0.2,3.8,2.2,0.2,0.2,5.0,2.0,5.0,0.0,2.0,0.0,1.0,0.0
100,1,4,12,12,24,0,2.6,0.0,0.0,0.0,2.5,3.5,0.2,0.3,2.5,3.5,0.2,0.3,5.0,0.0,6.0,2.0,1.0,0.0,2.0,0.0
101,0,3,10,18,28,0,0.0,0.0,0.0,0.0,3.6,2.5,0.1,0.2,3.6,2.5,0.1,0.2,6.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0
102,7,2,16,14,30,0,3.4,0.0,0.0,0.0,3.9,2.1,0.1,0.0,3.9,2.1,0.1,0.0,7.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0
103,2,2,12,12,24,0,0.0,0.0,2.2,0.2,3.1,1.9,0.2,0.1,3.1,1.9,0.2,0.1,5.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0
104,1,2,18,16,34,0,2.6,0.0,0.0,0.0,2.4,2.5,0.1,0.4,2.4,2.5,0.1,0.4,5.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0
105,5,1,13,12,25,0,0.0,0.0,0.0,0.0,3.0,3.0,0.4,0.0,3.0,3.0,0.4,0.0,6.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0
106,3,3,12,22,34,1,0.0,0.0,0.0,0.0,2.6,2.2,0.1,0.1,2.6,2.2,0.1,0.1,5.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0
107,3,2,9,20,29,0,0.0,0.0,3.4,0.2,2.5,3.1,0.2,0.2,2.5,3.1,0.2,0.2,6.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0
108,2,3,5,11,16,0,0.0,0.0,0.0,0.0,2.8,1.6,0.3,0.1,2.8,1.6,0.3,0.1,4.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0
109,1,2,8,7,15,0,2.4,0.0,2.0,0.0,2.36,2.82,0.18,0.0,2.36,2.82,0.18,0.0,5.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0
110,0,3,7,8,15,0,1.8,0.0,3.8,0.4,3.0,3.09,0.18,0.45,3.0,3.09,0.18,0.45,5.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0
111,4,6,18,17,35,0,2.8,0.0,2.4,0.0,3.55,2.64,0.18,0.09,3.55,2.64,0.18,0.09,5.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0
112,1,2,11,21,32,1,2.8,0.2,2.4,0.0,3.0,2.18,0.18,0.18,3.0,2.18,0.18,0.18,5.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0
113,2,6,12,11,23,0,1.6,0.2,4.4,0.2,2.27,4.09,0.09,0.18,2.27,4.09,0.09,0.18,6.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0
114,2,2,17,12,29,0,1.2,0.0,3.0,0.0,1.73,2.09,0.09,0.0,1.73,2.09,0.09,0.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
115,3,2,17,19,36,0,2.8,0.4,3.0,0.2,2.64,2.55,0.36,0.18,2.64,2.55,0.36,0.18,4.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0
116,3,0,12,10,22,0,3.4,0.6,2.2,0.2,3.36,2.27,0.45,0.09,3.36,2.27,0.45,0.09,6.0,2.0,5.0,0.0,2.0,0.0,1.0,0.0
117,1,2,6,13,19,0,1.6,0.0,2.6,0.4,1.91,2.45,0.09,0.27,1.91,2.45,0.09,0.27,5.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0
118,2,2,10,15,25,0,2.0,0.0,4.2,0.2,2.45,3.27,0.36,0.09,2.45,3.27,0.36,0.09,7.0,1.0,6.0,0.0,2.0,0.0,1.0,0.0
119,1,5,12,12,24,0,2.6,0.4,3.2,0.0,3.08,2.83,0.42,0.17,3.08,2.83,0.42,0.17,6.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0
120,1,3,16,12,28,0,3.6,0.0,3.4,0.4,2.75,3.33,0.0,0.42,2.75,3.33,0.0,0.42,6.0,1.0,6.0,2.0,0.0,0.0,2.0,0.0
121,1,3,13,19,32,0,2.4,0.0,2.2,0.2,2.92,1.75,0.08,0.08,2.92,1.75,0.08,0.08,6.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0
122,1,3,18,14,32,0,2.4,0.0,4.6,0.4,2.08,3.58,0.08,0.17,2.08,3.58,0.08,0.17,5.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0
123,4,3,17,19,36,0,2.2,0.2,2.6,0.4,2.17,2.67,0.17,0.33,2.17,2.67,0.17,0.33,5.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0
124,0,2,7,15,22,0,2.4,0.2,2.4,0.2,2.5,1.83,0.17,0.08,2.5,1.83,0.17,0.08,6.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
125,1,2,12,11,23,0,2.6,0.2,3.0,0.8,2.42,2.42,0.25,0.33,2.42,2.42,0.25,0.33,4.0,1.0,7.0,1.0,1.0,0.0,2.0,0.0
126,2,1,17,13,30,0,2.2,0.0,3.8,0.4,3.17,2.75,0.08,0.17,3.17,2.75,0.08,0.17,6.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
127,2,1,10,17,27,0,1.4,0.0,3.0,0.0,2.08,2.25,0.0,0.08,2.08,2.25,0.0,0.08,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
128,4,2,15,14,29,1,4.2,0.2,2.4,0.4,4.25,2.25,0.17,0.17,4.25,2.25,0.17,0.17,7.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0
129,1,1,18,12,30,0,2.8,0.4,3.0,0.2,2.69,2.62,0.31,0.15,2.69,2.62,0.31,0.15,4.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0
130,1,5,12,11,23,0,2.0,0.2,1.8,0.0,2.31,2.62,0.15,0.0,2.31,2.62,0.15,0.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0
131,1,1,12,15,27,0,1.4,0.0,2.0,0.2,1.85,1.85,0.08,0.08,1.85,1.85,0.08,0.08,5.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
