ID;data;clube_mandante_x;clube_visitante_x;cartao_amarelo_mandante;cartao_amarelo_visitante;cartao_vermelho_mandante;cartao_vermelho_visitante
5759;21/5/2017;Vasco;Bahia;4;1;0;1
5760;21/5/2017;Athletico-PR;Gremio;2;3;0;1
5773;28/5/2017;Sport;Gremio;3;1;1;0
5775;29/5/2017;Chapecoense;Avai;1;0;1;1
5804;11/6/2017;Athletico-PR;Santos;1;0;0;1
5806;14/6/2017;Atletico-MG;Athletico-PR;2;4;0;1
5832;22/6/2017;Corinthians;Bahia;2;2;1;1
5843;25/6/2017;Bahia;Flamengo;1;3;1;0
5847;1/7/2017;Atletico-GO;Santos;2;1;1;0
5855;3/7/2017;Fluminense;Chapecoense;3;4;0;1
5861;9/7/2017;Gremio;Avai;1;4;0;1
5878;16/7/2017;Vasco;Santos;4;2;0;1
5895;20/7/2017;Athletico-PR;Botafogo-RJ;3;4;0;1
5912;30/7/2017;Gremio;Santos;3;5;1;0
5920;2/8/2017;Santos;Flamengo;2;2;1;1
5938;13/8/2017;Sao Paulo;Cruzeiro;4;3;1;2
5940;13/8/2017;Atletico-MG;Flamengo;4;1;0;1
5955;21/8/2017;Fluminense;Atletico-MG;1;3;0;0
5978;17/9/2017;Avai;Atletico-MG;2;2;0;1
6006;7/10/2017;Cruzeiro;Ponte Preta;5;0;0;1
6010;15/10/2017;Atletico-GO;Palmeiras;1;1;1;0
6020;11/10/2017;Avai;Vasco;5;2;1;1
6022;12/10/2017;Vitoria;Sport;1;3;1;0
6024;12/10/2017;Ponte Preta;Santos;2;2;1;0
6028;18/10/2017;Atletico-MG;Chapecoense;1;3;1;0
6072;8/11/2017;Vitoria;Palmeiras;3;1;1;0
6081;12/11/2017;Gremio;Vitoria;0;1;0;1
6083;12/11/2017;Cruzeiro;Fluminense;4;2;0;1
6104;20/11/2017;Fluminense;Ponte Preta;2;1;0;1
6114;26/11/2017;Bahia;Chapecoense;4;3;1;0
6120;3/12/2017;Vitoria;Flamengo;2;3;2;0
6144;22/4/2018;Gremio;Athletico-PR;3;2;0;1
6154;30/4/2018;America-MG;Vitoria;1;2;1;0
6155;27/9/2018;Santos;Vasco;1;2;0;1
6164;6/5/2018;Sport;Bahia;1;1;0;1
6176;19/5/2018;Atletico-MG;Cruzeiro;3;1;0;1
6180;20/5/2018;Sao Paulo;Santos;3;2;1;0
6187;26/5/2018;Palmeiras;Sport;3;2;0;1
6191;27/5/2018;Bahia;Vasco;1;5;0;1
6204;31/5/2018;Corinthians;America-MG;2;2;0;2
6207;2/6/2018;Atletico-MG;Chapecoense;2;3;0;1
6231;10/6/2018;Bahia;Botafogo-RJ;4;2;0;1
6236;12/6/2018;Sao Paulo;Vitoria;3;3;1;1
6250;18/7/2018;Flamengo;Sao Paulo;3;3;0;1
6255;19/7/2018;Athletico-PR;Internacional;3;5;1;0
6258;22/7/2018;Vasco;Gremio;4;6;1;0
6261;22/7/2018;Bahia;Vitoria;3;4;0;1
6299;22/8/2018;Palmeiras;Botafogo-RJ;2;4;0;1
6316;18/8/2018;Santos;Sport;3;2;0;1
6325;20/8/2018;Vasco;Ceara;1;0;0;1
6327;25/8/2018;Corinthians;Parana;3;3;0;1
