,Unnamed: 0,Unnamed: 0.1,ID,campeonato,rodata,data,clube_mandante,clube_visitante,qtd_cartao_amarelo_mandante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_mandante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_vermelhos,total_cartoes_amarelos,total_cartoes_partida,faltas_mandante,faltas_visitante,total_faltas_partida,chave_classico,classico_regional,MedAma5_mandante,MedVer5_mandante,MedAma5_visitante,MedVer5_visitante,MedAmaTemp_mandante,MedAmaTemp_visitante,MedVerTemp_mandante,MedVerTemp_visitante,data_dt,MedAmaH_mandante,MedAmaH_visitante,MedVerH_mandante,MedVerH_visitante,MaxAmaTemp_mandante,MinAmaTemp_mandante,MaxAmaTemp_visitante,MinAmaTemp_visitante,MaxVerTemp_mandante,MinVerTemp_mandante,MaxVerTemp_visitante,MinVerTemp_visitante,ScoreMed_mandante,ScoreLevel_mandante,ScoreMed_visitante,ScoreLevel_visitante,ScoreMedTemp_mandante,ScoreLevelTemp_mandante,ScoreMedTemp_visitante,ScoreLevelTemp_visitante,FalAma_mandante,FalVer_mandante,FalAma_visitante,FalVer_visitante,FalAmaTemp_mandante,FalVerTemp_mandante,FalAmaTemp_visitante,FalVerTemp_visitante,Target_mandante_amarelo,Target_visitante_amarelo
10,10,10,4997,2015,2,16/5/2015,Goias,Athletico-PR,0.5,0.16666666666666666,0.0,1.0,2,2,1,3,4,0.5714285714285714,0.7999999999999999,32,GoiasAthletico-PR,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2015-05-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2660550458715596,0.0,1.0,0.0,0,0
11,11,11,4998,2015,2,16/5/2015,Coritiba,Gremio,0.16666666666666666,0.42857142857142855,0.0,0.0,2,3,0,5,5,1.0,0.11111111111111116,35,CoritibaGremio,0,0.0,0.0,0.0,0.0,0.0,0.3464052287581698,0.0,0.0,2015-05-16,0.0,0.3464052287581698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4837758112094397,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,1.0,0.0,0,1
12,12,12,4999,2015,2,16/5/2015,Corinthians,Chapecoense,0.4,0.5,0.0,0.0,2,4,0,6,6,0.6875,0.4666666666666667,29,CorinthiansChapecoense,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43438914027149345,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1
13,13,13,5000,2015,2,17/5/2015,Figueirense,Vasco,0.25,0.8571428571428571,0.0,0.0,2,6,0,8,8,0.6470588235294118,0.2857142857142857,31,FigueirenseVasco,0,0.0,0.0,0.0,0.0,0.42028985507246386,0.0,1.0,0.0,2015-05-17,0.42028985507246386,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11240310077519311,0.0,0.31930693069306937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0,1
14,14,14,5001,2015,2,17/5/2015,Atletico-MG,Fluminense,0.4,0.14285714285714285,0.0,0.0,2,1,0,3,3,0.9166666666666665,0.23076923076923073,26,Atletico-MGFluminense,0,0.0,0.0,0.0,0.0,1.0,0.3173076923076923,0.0,0.0,2015-05-17,1.0,0.3173076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15,15,15,5002,2015,2,17/5/2015,Flamengo,Sport,0.3333333333333333,0.5,0.0,0.0,2,3,0,5,5,0.15789473684210525,0.0,17,FlamengoSport,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1
16,16,16,5003,2015,2,17/5/2015,Santos,Cruzeiro,0.2,0.5714285714285714,0.0,0.0,1,4,0,5,5,0.7,0.3571428571428571,31,SantosCruzeiro,0,0.0,0.0,0.0,0.0,0.0,0.5604395604395602,1.0,0.0,2015-05-17,0.0,0.5604395604395602,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5609756097560972,0.0,1.0000000000000004,0.0,0,1
17,17,17,5004,2015,2,17/5/2015,Joinville,Palmeiras,0.5,0.1111111111111111,0.0,0.0,3,1,0,4,4,0.5,0.36363636363636354,29,JoinvillePalmeiras,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-05-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3993288590604025,0.4000000000000001,0.9999999999999996,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,1.0,0.0,1,0
18,18,18,5005,2015,2,17/5/2015,Ponte Preta,Sao Paulo,0.0,0.42857142857142855,0.0,0.0,1,3,0,4,4,0.25,0.38095238095238093,29,Ponte PretaSao Paulo,1,0.0,0.0,0.0,0.0,0.9999999999999999,0.1625000000000001,1.0,0.0,2015-05-17,0.9999999999999999,0.1625000000000001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,0.5182926829268291,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
19,19,19,5006,2015,2,17/5/2015,Internacional,Avai,0.4000000000000001,1.0,0.0,0.0,3,7,0,10,10,0.7222222222222222,1.0,43,InternacionalAvai,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5677290836653381,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1
