,ID,clube_mandante,qtd_cartao_amarelo_mandante,qtd_cartao_vermelho_mandante,clube_visitante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida
86,4697,Corinthians,0,0,Botafogo-RJ,3,0,0,3,3,0,3
87,4698,Goias,2,0,Coritiba,2,0,2,2,4,0,4
88,4699,Palmeiras,1,0,Gremio,5,1,1,6,6,1,7
89,4700,Flamengo,2,0,Cruzeiro,2,0,2,2,4,0,4
90,4701,Bahia,1,0,Chapecoense,2,1,1,3,3,1,4
91,4702,Internacional,3,0,Fluminense,3,0,3,3,6,0,6
92,4703,Atletico-MG,0,0,Sao Paulo,1,0,0,1,1,0,1
93,4704,Athletico-PR,2,0,Figueirense,3,0,2,3,5,0,5
94,4705,Sport,2,0,Vitoria,4,0,2,4,6,0,6
95,4706,Criciuma,4,0,Santos,1,0,4,1,5,0,5
96,4707,Gremio,1,0,Goias,4,0,1,4,5,0,5
97,4708,Coritiba,1,0,Figueirense,2,0,1,2,3,0,3
98,4709,Sport,1,0,Botafogo-RJ,2,0,1,2,3,0,3
99,4710,Criciuma,2,0,Fluminense,2,0,2,2,4,0,4
100,4711,Bahia,4,0,Sao Paulo,4,0,4,4,8,0,8
101,4712,Flamengo,1,0,Athletico-PR,3,0,1,3,4,0,4
102,4713,Corinthians,3,0,Internacional,4,0,3,4,7,0,7
103,4714,Santos,1,0,Palmeiras,3,0,1,3,4,0,4
104,4715,Cruzeiro,0,0,Vitoria,3,0,0,3,3,0,3
105,4716,Chapecoense,1,0,Atletico-MG,1,0,1,1,2,0,2
106,4717,Sao Paulo,3,0,Chapecoense,3,0,3,3,6,0,6
107,4718,Figueirense,1,1,Gremio,6,0,2,6,7,1,8
108,4719,Atletico-MG,3,0,Bahia,4,0,3,4,7,0,7
109,4720,Botafogo-RJ,2,0,Coritiba,1,0,2,1,3,0,3
110,4721,Internacional,0,0,Flamengo,1,1,0,2,1,1,2
111,4722,Palmeiras,3,0,Cruzeiro,5,0,3,5,8,0,8
112,4723,Vitoria,1,0,Corinthians,1,0,1,1,2,0,2
113,4724,Athletico-PR,1,0,Criciuma,1,0,1,1,2,0,2
114,4725,Fluminense,2,0,Santos,1,0,2,1,3,0,3
115,4726,Goias,1,0,Sport,3,0,1,3,4,0,4
116,4727,Santos,2,0,Chapecoense,1,0,2,1,3,0,3
117,4728,Cruzeiro,0,0,Figueirense,2,0,0,2,2,0,2
118,4729,Criciuma,3,1,Vitoria,3,0,4,3,6,1,7
119,4730,Bahia,2,0,Internacional,2,0,2,2,4,0,4
120,4731,Goias,2,0,Sao Paulo,1,0,2,1,3,0,3
121,4732,Athletico-PR,3,0,Fluminense,1,0,3,1,4,0,4
122,4733,Corinthians,1,0,Palmeiras,2,0,1,2,3,0,3
123,4734,Sport,0,0,Atletico-MG,3,0,0,3,3,0,3
124,4735,Flamengo,3,1,Botafogo-RJ,4,0,4,4,7,1,8
125,4736,Gremio,1,0,Coritiba,2,0,1,2,3,0,3
126,4737,Botafogo-RJ,2,0,Cruzeiro,1,0,2,1,3,0,3
127,4738,Sao Paulo,1,0,Criciuma,1,0,1,1,2,0,2
128,4740,Palmeiras,3,0,Bahia,3,0,3,3,6,0,6
129,4741,Chapecoense,4,0,Flamengo,1,0,4,1,5,0,5
130,4742,Coritiba,3,0,Corinthians,2,1,3,3,5,1,6
131,4743,Figueirense,1,0,Sport,1,0,1,1,2,0,2
132,4744,Internacional,4,1,Santos,2,1,5,3,6,2,8
133,4745,Fluminense,1,0,Goias,1,0,1,1,2,0,2
134,4746,Atletico-MG,2,0,Athletico-PR,3,0,2,3,5,0,5
135,4747,Criciuma,3,0,Cruzeiro,1,0,3,1,4,0,4
136,4748,Bahia,4,0,Goias,2,0,4,2,6,0,6
137,4749,Fluminense,3,0,Coritiba,1,0,3,1,4,0,4
138,4750,Flamengo,2,0,Sport,1,0,2,1,3,0,3
139,4751,Santos,3,1,Corinthians,3,0,4,3,6,1,7
140,4752,Athletico-PR,0,0,Botafogo-RJ,3,0,0,3,3,0,3
141,4753,Internacional,3,0,Gremio,5,0,3,5,8,0,8
142,4754,Atletico-MG,2,0,Palmeiras,2,0,2,2,4,0,4
143,4755,Chapecoense,2,0,Figueirense,2,0,2,2,4,0,4
144,4756,Sao Paulo,5,0,Vitoria,2,0,5,2,7,0,7
145,4757,Goias,1,0,Internacional,1,0,1,1,2,0,2
146,4758,Corinthians,1,0,Bahia,4,0,1,4,5,0,5
147,4759,Coritiba,2,1,Flamengo,4,0,3,4,6,1,7
148,4760,Palmeiras,2,0,Sao Paulo,4,0,2,4,6,0,6
149,4761,Gremio,1,0,Criciuma,2,0,1,2,3,0,3
150,4762,Cruzeiro,3,0,Santos,1,0,3,1,4,0,4
151,4763,Vitoria,1,0,Chapecoense,1,0,1,1,2,0,2
152,4764,Botafogo-RJ,4,0,Fluminense,2,0,4,2,6,0,6
153,4765,Sport,4,0,Athletico-PR,3,0,4,3,7,0,7
154,4766,Figueirense,6,0,Atletico-MG,5,0,6,5,11,0,11
155,4767,Sport,0,0,Palmeiras,1,0,0,1,1,0,1
156,4768,Figueirense,1,0,Botafogo-RJ,2,0,1,2,3,0,3
157,4769,Santos,0,0,Athletico-PR,2,0,0,2,2,0,2
158,4770,Coritiba,3,0,Vitoria,1,0,3,1,4,0,4
159,4771,Bahia,2,0,Criciuma,5,0,2,5,7,0,7
160,4772,Chapecoense,2,0,Fluminense,3,1,2,4,5,1,6
161,4773,Flamengo,2,0,Atletico-MG,2,0,2,2,4,0,4
162,4774,Internacional,1,0,Sao Paulo,1,0,1,1,2,0,2
163,4775,Corinthians,1,0,Goias,3,0,1,3,4,0,4
164,4776,Cruzeiro,5,0,Gremio,3,0,5,3,8,0,8
165,4777,Atletico-MG,3,0,Internacional,2,0,3,2,5,0,5
166,4778,Botafogo-RJ,2,0,Chapecoense,1,0,2,1,3,0,3
167,4779,Palmeiras,6,0,Coritiba,4,1,6,5,10,1,11
168,4780,Gremio,2,0,Corinthians,3,1,2,4,5,1,6
169,4781,Criciuma,2,1,Flamengo,0,0,3,0,2,1,3
170,4782,Vitoria,2,0,Figueirense,2,0,2,2,4,0,4
171,4783,Sao Paulo,5,0,Santos,3,0,5,3,8,0,8
172,4784,Fluminense,1,0,Sport,0,0,1,0,1,0,1
173,4785,Goias,4,0,Cruzeiro,3,0,4,3,7,0,7
174,4786,Athletico-PR,1,0,Bahia,1,0,1,1,2,0,2
175,4787,Palmeiras,2,0,Internacional,3,0,2,3,5,0,5
176,4788,Cruzeiro,4,0,Chapecoense,3,0,4,3,7,0,7
177,4789,Corinthians,3,0,Fluminense,2,0,3,2,5,0,5
178,4790,Coritiba,2,0,Atletico-MG,4,0,2,4,6,0,6
179,4791,Sport,3,0,Criciuma,4,0,3,4,7,0,7
180,4792,Figueirense,1,0,Sao Paulo,2,1,1,3,3,1,4
181,4793,Botafogo-RJ,2,0,Santos,2,0,2,2,4,0,4
182,4794,Gremio,4,0,Bahia,3,0,4,3,7,0,7
183,4796,Vitoria,2,0,Flamengo,3,0,2,3,5,0,5
184,4797,Santos,1,0,Vitoria,6,0,1,6,7,0,7
185,4798,Flamengo,1,0,Gremio,2,0,1,2,3,0,3
186,4799,Chapecoense,2,0,Goias,1,0,2,1,3,0,3
187,4800,Sao Paulo,0,0,Sport,2,0,0,2,2,0,2
188,4801,Criciuma,5,0,Corinthians,3,0,5,3,8,0,8
189,4802,Atletico-MG,3,0,Botafogo-RJ,3,1,3,4,6,1,7
190,4803,Fluminense,1,0,Cruzeiro,4,0,1,4,5,0,5
191,4804,Bahia,6,0,Coritiba,2,0,6,2,8,0,8
192,4805,Athletico-PR,3,0,Palmeiras,0,1,3,1,3,1,4
193,4806,Internacional,3,0,Figueirense,4,1,3,5,7,1,8
194,4807,Gremio,2,0,Athletico-PR,3,0,2,3,5,0,5
195,4808,Palmeiras,4,0,Criciuma,3,0,4,3,7,0,7
196,4809,Figueirense,3,1,Fluminense,2,1,4,3,5,2,7
197,4810,Sport,5,0,Santos,1,0,5,1,6,0,6
198,4811,Coritiba,3,0,Chapecoense,2,0,3,2,5,0,5
199,4813,Botafogo-RJ,1,1,Sao Paulo,2,0,2,2,3,1,4
200,4814,Vitoria,1,0,Internacional,1,0,1,1,2,0,2
201,4815,Corinthians,3,0,Atletico-MG,1,0,3,1,4,0,4
202,4816,Cruzeiro,1,0,Bahia,4,2,1,6,5,2,7
203,4817,Fluminense,1,0,Palmeiras,4,0,1,4,5,0,5
204,4818,Chapecoense,1,0,Sport,2,0,1,2,3,0,3
205,4819,Santos,4,0,Coritiba,3,0,4,3,7,0,7
206,4820,Bahia,2,0,Figueirense,1,0,2,1,3,0,3
207,4821,Internacional,2,0,Botafogo-RJ,3,0,2,3,5,0,5
208,4822,Flamengo,2,0,Corinthians,1,0,2,1,3,0,3
209,4823,Sao Paulo,3,0,Cruzeiro,2,0,3,2,5,0,5
210,4824,Athletico-PR,1,0,Vitoria,2,0,1,2,3,0,3
211,4825,Atletico-MG,1,0,Gremio,2,0,1,2,3,0,3
212,4826,Criciuma,3,0,Goias,5,0,3,5,8,0,8
213,4827,Vitoria,1,0,Fluminense,0,0,1,0,1,0,1
214,4828,Cruzeiro,1,0,Athletico-PR,0,0,1,0,1,0,1
215,4829,Sport,4,0,Internacional,1,0,4,1,5,0,5
216,4830,Figueirense,2,0,Criciuma,4,0,2,4,6,0,6
217,4831,Botafogo-RJ,4,3,Bahia,3,0,7,3,7,3,10
218,4832,Palmeiras,1,1,Flamengo,4,0,2,4,5,1,6
219,4833,Coritiba,5,0,Sao Paulo,1,0,5,1,6,0,6
220,4834,Corinthians,0,0,Chapecoense,3,0,0,3,3,0,3
221,4835,Goias,0,0,Atletico-MG,1,0,0,1,1,0,1
222,4836,Gremio,2,0,Santos,0,0,2,0,2,0,2
223,4837,Athletico-PR,1,0,Internacional,1,0,1,1,2,0,2
224,4838,Criciuma,4,0,Botafogo-RJ,4,0,4,4,8,0,8
225,4839,Cruzeiro,0,0,Atletico-MG,3,0,0,3,3,0,3
226,4840,Flamengo,1,0,Fluminense,5,0,1,5,6,0,6
227,4841,Sport,2,0,Coritiba,2,0,2,2,4,0,4
228,4842,Corinthians,4,1,Sao Paulo,4,1,5,5,8,2,10
229,4843,Vitoria,3,0,Bahia,4,0,3,4,7,0,7
230,4844,Santos,1,0,Figueirense,2,0,1,2,3,0,3
231,4845,Goias,4,0,Palmeiras,1,1,4,2,5,1,6
